ClassCode,LabelName,Supercategory
313,/m/0175cv,"[266, 6]"
314,/m/0cmf2,"[321, 148]"
315,/m/0ccs93,"[229, 6]"
316,/m/02d1br,['None']
317,/m/0gjkl,['None']
318,/m/0jqgx,[73]
319,/m/0h99cwc,['None']
320,/m/047j0r,[298]
321,/m/0k5j,[148]
322,/m/0h8n6ft,[348]
323,/m/0gm28,[97]
324,/m/0130jx,[407]
325,/m/04rmv,[6]
326,/m/081qc,[246]
327,/m/0qmmr,"[344, 474, 148]"
328,/m/03fj2,"[302, 6]"
329,/m/040b_t,"[234, 319]"
330,/m/02y6n,['None']
331,/m/0fqfqc,[298]
332,/m/030610,['None']
333,/m/07kng9,['None']
334,/m/029b3,[373]
335,/m/0fbw6,[41]
336,/m/07qxg_,[199]
337,/m/068zj,[6]
338,/m/01g317,['None']
339,/m/01bfm9,['None']
340,/m/02068x,"[155, 143]"
341,/m/0fz0h,['None']
342,/m/0jy4k,['None']
343,/m/05kyg_,[298]
344,/m/01prls,[148]
345,/m/01h44,[6]
346,/m/08pbxl,[6]
347,/m/02gzp,[138]
348,/m/04brg2,['None']
349,/m/031n1,['None']
350,/m/02jvh9,[348]
351,/m/046dlr,[250]
352,/m/0h8ntjv,[319]
353,/m/0k65p,['None']
354,/m/011k07,"[49, 58]"
355,/m/03grzl,[7]
356,/m/06y5r,[138]
357,/m/061_f,[303]
358,/m/01cmb2,[205]
359,/m/01mqdt,['None']
360,/m/05r655,[338]
361,/m/02p3w7d,[70]
362,/m/029tx,"[58, 6]"
363,/m/04m6gz,['None']
364,/m/015h_t,['None']
365,/m/06pcq,[299]
366,/m/01bms0,['None']
367,/m/07fbm7,[303]
368,/m/09tvcd,[348]
369,/m/06nwz,['None']
370,/m/0dv9c,['None']
371,/m/083wq,['None']
372,/m/0gd36,"[75, 6]"
373,/m/0138tl,['None']
374,/m/07clx,[246]
375,/m/05ctyq,[426]
376,/m/0bjyj5,['None']
377,/m/0dbzx,[6]
378,/m/02ctlc,[426]
379,/m/0fp6w,[303]
380,/m/0djtd,['None']
381,/m/0167gd,[373]
382,/m/078n6m,"[134, 298]"
383,/m/0152hh,[442]
384,/m/04gth,[73]
385,/m/0ll1f78,"[30, 455, 6, 266, 369]"
386,/m/0cffdh,[29]
387,/m/025rp__,[33]
388,/m/02_n6y,[474]
389,/m/0wdt60w,[426]
390,/m/0cydv,"[39, 249, 6]"
391,/m/01n5jq,[421]
392,/m/09rvcxw,"[321, 148]"
393,/m/013y1f,[256]
394,/m/06ncr,[256]
395,/m/015qff,['None']
396,/m/024g6,[246]
397,/m/05gqfk,[421]
398,/m/0dv77,[41]
399,/m/052sf,['None']
400,/m/0cdn1,[299]
401,/m/03jbxj,['None']
402,/m/0cyfs,['None']
403,/m/0kmg4,"[53, 373, 62]"
404,/m/02cvgx,[41]
405,/m/09kx5,[6]
406,/m/057cc,[256]
407,/m/02pkr5,['None']
408,/m/057p5t,['None']
409,/m/03g8mr,['None']
410,/m/0frqm,[421]
411,/m/03m3vtv,[421]
412,/m/0584n8,[309]
413,/m/014y4n,['None']
414,/m/01g3x7,[138]
415,/m/07cx4,['None']
416,/m/07bgp,[6]
417,/m/032b3c,['None']
418,/m/01bl7v,[338]
419,/m/0663v,['None']
420,/m/0cn6p,"[62, 6]"
421,/m/02rdsp,['None']
422,/m/02crq1,[298]
423,/m/01xqw,[256]
424,/m/0cnyhnx,[6]
425,/m/01x_v,[6]
426,/m/018xm,['None']
427,/m/09ddx,"[229, 6]"
428,/m/084zz,"[75, 6]"
429,/m/01n4qj,['None']
430,/m/07cmd,"[138, 344, 148]"
431,/m/04_sv,"[344, 148]"
432,/m/0mkg,[256]
433,/m/09d5_,"[229, 6]"
434,/m/0c568,[6]
435,/m/02wbtzl,[33]
436,/m/05bm6,['None']
437,/m/01lsmm,[421]
438,/m/0dftk,"[229, 6]"
439,/m/0dtln,['None']
440,/m/0nl46,['None']
441,/m/05r5c,[256]
442,/m/06msq,['None']
443,/m/0cd4d,"[62, 6]"
444,/m/05kms,[256]
445,/m/02jnhm,['None']
446,/m/0fldg,[303]
447,/m/073bxn,['None']
448,/m/029bxz,"[234, 319]"
449,/m/020lf,['None']
450,/m/01btn,"[155, 143]"
451,/m/02vqfm,[246]
452,/m/06__v,['None']
453,/m/043nyj,[303]
454,/m/0grw1,[41]
455,/m/03hl4l9,"[266, 6]"
456,/m/0hnnb,['None']
457,/m/04c0y,[6]
458,/m/0dzf4,['None']
459,/m/07v9_z,['None']
460,/m/0f9_l,"[266, 6]"
461,/m/0703r8,"[422, 298]"
462,/m/01xyhv,['None']
463,/m/01fh4r,[348]
464,/m/04dr76w,[348]
465,/m/0pcr,[6]
466,/m/03s_tn,[234]
467,/m/07mhn,['None']
468,/m/01hrv5,['None']
469,/m/019h78,"[266, 6]"
470,/m/09kmb,"[266, 6]"
471,/m/0h23m,"[229, 6]"
472,/m/050gv4,[348]
473,/m/01fb_0,['None']
474,/m/02w3_ws,['None']
475,/m/014j1m,[303]
476,/m/01gmv2,['None']
477,/m/04y4h8h,[298]
478,/m/026qbn5,"[31, 298]"
479,/m/01m2v,['None']
480,/m/05_5p_0,[370]
481,/m/07030,['None']
482,/m/01s105,[298]
483,/m/033rq4,['None']
484,/m/0162_1,['None']
485,/m/02z51p,[298]
486,/m/06mf6,[6]
487,/m/02hj4,"[75, 6]"
488,/m/0bt9lr,"[62, 6]"
489,/m/08hvt4,[348]
490,/m/084rd,['None']
491,/m/01pns0,['None']
492,/m/014sv8,['None']
493,/m/079cl,[43]
494,/m/01940j,[309]
495,/m/05vtc,[41]
496,/m/02w3r3,['None']
497,/m/054xkw,['None']
498,/m/01bqk0,['None']
499,/m/09g1w,[407]
